state,city,metro,nhoods,sheets,region,yr_sheet,ads_type
AL,Birmingham,Birmingham,60,1,S,10/1/1937,late37
AL,Mobile,Mobile,35,0.742857143,S,6/1/1937,early37
AL,Montgomery,Montgomery,19,1,S,2/3/1937,early37
AR,Little Rock,Little Rock,35,1,S,para,para
AZ,Phoenix,Phoenix,25,1,W,para,para
CA,Fresno,Fresno,24,1,W,para,para
CA,Los Angeles,Los Angeles,416,0.990384615,W,1939,x3940
CA,Oakland,San Fracisco-Oakland,119,0.991596639,W,2/3/1937,early37
CA,Sacramento,Sacramento,56,1,W,10/1/1937,late37
CA,San Diego,San Diego,76,0.907894737,W,para,para
CA,San Francisco,San Fracisco-Oakland,97,0.979381443,W,para,para
CA,San Jose,San Jose,37,0.945945946,W,8/26/1937,early37
CA,Stockton,Stockton,43,1,W,10/1/1937,late37
CO,Denver,Denver,54,0.722222222,W,10/1/1937,late37
CO,Pueblo,Pueblo,32,1,W,para,para
CT,Hartford,Greater Hartford,27,1,NE,10/1/1937,late37
CT,New Britain,Greater Hartford,9,0,NE,none,para
CT,New Haven,New Haven,47,1,NE,8/26/1937,early37
CT,"Stamford, Darien, and New Canaan","Stamford, Darien, and New Canaan",27,1,NE,8/26/1937,early37
CT,Waterbury,Waterbury,15,1,NE,2/3/1937,early37
FL,Jacksonville,Jacksonville,12,1,S,para,para
FL,Miami,Miami,74,1,S,10/1/1937,late37
FL,St. Petersburg,Tampa-St. Petersburg,48,1,S,8/26/1937,early37
FL,Tampa,Tampa-St. Petersburg,24,1,S,para,para
GA,Atlanta,Atlanta,111,1,S,10/1/1937,late37
GA,Augusta,Augusta,30,1,S,8/26/1937,early37
GA,Columbus,"Columbus, GA",25,1,S,8/26/1937,early37
GA,Macon,Macon,40,1,S,8/26/1937,early37
GA,Savannah,Savannah,25,1,S,para,para
IA,Council Bluffs,"Omaha-Council Bluffs, NE-IA",18,0,MW,none,none
IA,Davenport,Davenport,24,1,MW,para,para
IA,Des Moines,Des Moines,24,0.833333333,MW,para,para
IA,Dubuque,Dubuque,10,1,MW,para,para
IA,Sioux City,Sioux City,22,0.863636364,MW,para,para
IA,Waterloo,Waterloo,22,0.954545455,MW,para,para
IL,Aurora,Aurora,22,0.909090909,MW,10/1/1937,late37
IL,Chicago,Chicago-Lake County,580,0.99310344800000006,MW,1939,x3940
IL,Decatur,Decatur,24,0.875,MW,6/1/1937,early37
IL,East St. Louis,St. Louis-ESL,47,1,MW,1940,x3940
IL,Joliet,Joliet,32,1,MW,6/1/1937,early37
IL,Peoria,Peoria,23,0,MW,none,none
IL,Rockford,Rockford,32,0.96875,MW,10/1/1937,late37
IL,Springfield,"Springfield, IL",31,0.612903226,MW,2/3/1937,early37
IN,Evansville,Evansville,24,1,MW,2/3/1937,early37
